artifact_type;deprecated_artifact;header_file;replacement_artifact;deprecated_in;removal_targeted_in
API;awb0::Teamcenter::Fnd0ConditionHelper::awb0IsCompareCmdVisible;awb0occmgmtbom/Fnd0ConditionHelperExt.hxx;this operation is deprecated. Use awb0IsCompareContentCmdVisible operation that takes client context and root objects as input.;ActiveWorkspace4.2;2712
API;awp0::aws2::Fnd0ConditionHelper::awp0getPropValueOnRefObj;awp0aws2/Fnd0ConditionHelperExt.hxx;This operation is deprecated AW6.0 onwards fnd0getPropValueOnRefObj should be used from AW6.0 onwards;ActiveWorkspace6.0;2712
API;behaviormodeling::Bhm0BehaviorModl::bhm0SaveModelData;Bhm0bhm/Bhm0BehaviorModlDelegate.hxx;It was a dummy operation;10.01.2002;2712
API;behaviormodeling::Bhm0BehaviorModlRevision::bhm0SaveModelData;Bhm0bhm/Bhm0BehaviorModlRevisionDelegate.hxx;It was a dummy operation.;10.01.2002;2712
API;behaviormodeling::Bhm0ComponentRep::bhm0SaveComp;Bhm0bhm/Bhm0ComponentRepDelegate.hxx;It was a dummy method.;10.01.2002;2712
ITK function;fnd_strcpy;base_utils/FndStringUtils.h;fnd_strlcpy;11. Mrz;2712
API;getLogCorrelationId;mld/logging/LoggerTree.hxx;Teamcenter::Common::Logging::LogCorrelation;14. Mrz;2712
API;getObjectBasedOpIntForSetBasedOpInt;extensionframework/OperationDispatcherRegistry.hxx;No replacement;11.02.2004;2712
ITK function;getValidPhysicalPartRevAndPartRev;mrocore/mrocore.h;MROCORE_get_valid_physical_part_rev_and_part_rev;2506;2712
API;isMatchAllBaseAction;extensionframework/PropOperationDispatcher.hxx;getBaseActionFunctionType;14.0;2712
API;item_ids_issued;property/legacy_counter.h;No replacement;2606;2912
API;item_ids_issued_list;property/legacy_counter.h;No replacement;2606;2912
API;nextIdInstance;property/legacy_counter.h;No replacement;2606;2912
API;registerLogCorrelationId;mld/logging/LoggerTree.hxx;Teamcenter::Common::Logging::LogCorrelation;14. Mrz;2712
API;sci0imdsintegration::Sci0ItemHelperObject::setSci0IsMDS;sci0imdsintegration/Sci0ItemHelperObjectDelegate.hxx;DEPRECATED. SEE SUPPORT ANNOUNCEMENT 2512.;2512;2912
API;setIsMatchAllBaseAction;extensionframework/PropOperationDispatcher.hxx;setBaseActionFunctionType;14.0;2712
ITK function;txt_destructor;textsrv/textserver.h;TXTSRV_get_substituted_text_resource;10.01.2003;2712
ITK function;txt_noSubText;textsrv/textserver.h;TXTSRV_get_unsubstituted_text_resource;10.01.2003;2712
ITK function;txt_subText;textsrv/textserver.h;TXTSRV_get_substituted_text_resource;10.01.2003;2712
