service_library;service;deprecated_operation;description;deprecated_in;removal_targeted_in
Smc0SoaStructuremanagement;Solutionvariantmanagement;Smc0::Services::Structuremanagement::_2023_06::Solutionvariantmanagement::updateMultilevelReuseSolVariants;We do not support updating a Reuse Solution Variant with a specific Variant Rule/Criteria in updateMultilevelReuseSolVariants. Use updateMultilevelReuseSolVariants2 instead.;2512;2912
Smr1SoaMrocoreaw;Mrocoreaw;Smr1::Services::Mrocoreaw::_2015_03::Mrocoreaw::createAndAssignLot;Deprecated. Introduced new SOA createAndAssignLot2.;2312;2712
Swi1SoaSvcworkinstructionsaw;Svcworkinstructionsaw;Swi1::Services::Svcworkinstructionsaw::_2021_06::Svcworkinstructionsaw::getServiceWorkInstructions;Deprecate this operation and replace it with swi1::Soa:: SvcWorkInstructionsAw::_2021_06::getServiceWorkInstructions2;ActiveWorkspace6.2;2712
TcSoaAdministration;Authorization;Teamcenter::Services::Administration::_2007_06::Authorization::checkAuthorization;Use the checkAuthorizationAccess operation from the _2007_06 namespace.;07.01.2005;2712
TcSoaAdministration;Preferencemanagement;Teamcenter::Services::Administration::_2007_06::Preferencemanagement::setPreferences;Use the setPreferences2 or setPreferencesDefinition operations from the _2012_09 namespace.;10;2712
TcSoaAdministration;Preferencemanagement;Teamcenter::Services::Administration::_2008_06::Preferencemanagement::lockSitePreferences;There is no replacement for this operation.;11. Jun;2712
TcSoaAdministration;Preferencemanagement;Teamcenter::Services::Administration::_2008_06::Preferencemanagement::unlockSitePreferences;There is no replacement for this operation.;11. Jun;2712
TcSoaAdministration;Preferencemanagement;Teamcenter::Services::Administration::_2012_09::Preferencemanagement::removeStalePreferenceInstancesAtLocations;There is no replacement for this operation.;11. Mai;2712
TcSoaAi;Ai;Teamcenter::Services::Ai::_2006_03::Ai::getProjectsInfo;Use the getProjectsInfo2 operation from the _2012_09 namespace.;10;2712
TcSoaAi;Ai;Teamcenter::Services::Ai::_2007_12::Ai::generateScopedMultipleStructure;Use the generateScopedMultipleStructure2 or generateScopedMultipleStructure3 operations from the _2008_06 namespace.;8.0.1;2712
TcSoaAllocations;Allocation;Teamcenter::Services::Allocations::_2007_01::Allocation::createAllocationContext;This operation does not support AttrValueMap for Allocation Map  use createAllocationContext2 instead.;2506;2712
TcSoaBom;Structuremanagement;Teamcenter::Services::Bom::_2008_06::Structuremanagement::addOrUpdateChildrenToParentLine;use addOrUpdateChildrenToParentLine() from Teamcenter::Soa::Bom::_2025_06;2506;2712
TcSoaBusinessmodeler;Constants;Teamcenter::Services::Businessmodeler::_2007_06::Constants::getGlobalConstantValues;Use the getGlobalConstantValues2 operation from the _2011_06 namespace.;9;2712
TcSoaCad;Datamanagement;Teamcenter::Services::Cad::_2007_01::Datamanagement::createOrUpdateParts;Use the createOrUpdateParts operation from the _2007_12 namespace.;7;2712
TcSoaCad;Datamanagement;Teamcenter::Services::Cad::_2007_01::Datamanagement::getAllAttrMappings;Use the getAllAttrMappings2 operation from the _2011_06 namespace.;9;2712
TcSoaCad;Datamanagement;Teamcenter::Services::Cad::_2007_01::Datamanagement::getAttrMappingsForDatasetType;Use the getAttrMappings operation from the _2014_10 namespace.;11. Jan;2712
TcSoaCad;Datamanagement;Teamcenter::Services::Cad::_2007_01::Datamanagement::getAvailableTypes;Use the getAvailabelTypes operation from the Core DataManagement service.;7;2712
